pixrad,asw,n_models,z_src_used,mid,z_lens_used,user,swid
12,ASW0004dv8,200,1.0,5505,0.5,ElisabethB,SW01,
,ASW0004nan,,,CGMKAY56PH,,,SW15,
,ASW0004m3x,,,HOHZKGVFHT,,,SW21,
,ASW00097xm,,,BWURZ5RWCG,,,----,
,ASW0009cp0,,,KKEBBJG3B6,,,SW38,
,ASW0007sez,,,CCZG2QBCV3,,,SW54,
12,ASW0004dv8,200,1.0,5515,0.5,ElisabethB,SW01,
12,ASW0004dv8,200,1.0,5520,0.5,ElisabethB,SW01,
12,ASW0004dv8,200,1.0,5523,0.5,ElisabethB,SW01,
12,ASW0004dv8,200,1.0,5527,0.5,ElisabethB,SW01,
,ASW0009auu,,,4NKLOD4KQD,,,----,
12,ASW0004dv8,200,1.0,5529,0.5,ElisabethB,SW01,
,ASW0001csb,,,B4PYYG5JSO,,,----,
,ASW0002owo,,,TZX62BK77W,,,----,
8,ASW0004dv8,200,1.03,1447,0.36,jasonjason,SW01,
,ASW00019n9,,,VHQZEMID6N,,,----,
,ASW00008a0,,,O5OPB5YJL4,,,SW50,
,ASW0000100,,,2A4RPZLJXW,,,----,
12,ASW0008swn,200,1.0,11707,0.5,c_cld,SW06,
,ASW0001ld7,,,L5TWWXPEJV,,,SW19,
12,ASW00096rm,200,1.0,11717,0.5,c_cld,SW42,
,ASW00019n9,,,IF7FQYSR66,,,----,
,ASW0007t5y,,,VDDLM6H2JN,,,SW55,
,ASW0004wgd,,,VWJ2LNN3VZ,,,SW35,
,ASW0004nan,,,Q5MDRLCQKJ,,,SW15,
12,ASW0004dv8,200,1.0,5593,0.5,Capella05,SW01,
12,ASW0004dv8,200,1.0,5594,0.5,Capella05,SW01,
,ASW0004xjk,,,P5W2HUVWX3,,,SW14,
,ASW0005ire,,,Q5UOKUQKVR,,,----,
12,ASW0009cjs,200,1.0,11763,0.5,c_cld,SW04,
,ASW0001ld7,,,2VR4GPC2FU,,,SW19,
,ASW0005ma2,,,5ZZKUM3SWL,,,SW26,
8,ASW0004dv8,200,1.0,4552,0.5,Budgieye,SW01,
,ASW0009c7u,,,G6ZROJRJZH,,,----,
,ASW0008qsm,,,IQ5R47PZ57,,,SW29,
,ASW00071fc,,,C7Y3NFNN22,,,----,
,ASW0007xrs,,,JHC3J2HYV7,,,SW28,
,ASW0001gve,,,ULOCQSOGZW,,,----,
,ASW0000r8n,,,XRGHZXNDPN,,,----,
12,ASW0004dv8,200,1.0,5653,0.5,ElisabethB,SW01,
,ASW0008qsm,,,TOFS7JNGEK,,,SW29,
,ASW0009cp0,,,Z6IFI4SLLM,,,SW38,
,ASW00077jj,,,VXQQW2Z7ZW,,,----,
,ASW0007xrs,,,IFLLZMWFVT,,,SW28,
,ASW0000p5i,,,MMTTM4PJ6Y,,,----,
,ASW0001a8c,,,FNWW7WRTUH,,,----,
,ASW00021r0,,,ZDL2LQ65WA,,,SW31,
,ASW00054e9,,,K6364LIPQX,,,----,
,ASW0006hn5,,,YSEA3OAPBP,,,----,
,ASW0009cp0,,,374NZOJ7IM,,,SW38,
,ASW00071fc,,,UVDXRIYHEE,,,----,
,ASW0000h2m,,,2SBWQKX22V,,,----,
,ASW0002fq1,,,7LK5DSWGIT,,,----,
,ASW00008a0,,,ZQTCPBN3ZE,,,SW50,
,ASW0004nan,,,J2QKURZAH4,,,SW15,
,ASW0001c3j,,,7QU6SIA6YH,,,SW43,
,ASW0007k2y,,,PHK4X2KA62,,,----,
12,ASW0004dv8,300,1.0,7820,0.5,c_cld,SW01,
,ASW0002qtn,,,FFIENOES3L,,,SW11,
,ASW00021r0,,,UHUIOLRHVW,,,SW31,
,ASW00096rm,,,57KRFQ2GZO,,,SW42,
,ASW0002dx7,,,L5352F4RMU,,,SW20,
,ASW0001ld7,,,UGI3TARELE,,,SW19,
12,ASW0004dv8,200,1.1,5811,0.36,c_cld,SW01,
,ASW0000p5i,,,GJLT3NLM6W,,,----,
,ASW0003r6c,,,4HC3CREEAD,,,SW47,
,ASW0002dx7,,,3NYJG67KRT,,,SW20,
,ASW0000h2m,,,KJBFGDJFPJ,,,----,
12,ASW0004dv8,300,1.0,9934,0.5,c_cld,SW01,
12,ASW0004dv8,300,1.0,9935,0.5,c_cld,SW01,
,ASW0001a2m,,,XU65KDTCQP,,,----,
,ASW0007t5y,,,G7O3HCHKYL,,,SW55,
8,ASW00024id,200,1.0,1750,0.5,Tom Collett,SW45,
12,ASW0004dv8,300,1.0,9951,0.5,c_cld,SW01,
,ASW0004xjk,,,7DXF6FTP44,,,SW14,
,ASW0002owo,,,MRA2TDF4QD,,,----,
,ASW0006jh5,,,5URN3BQFSV,,,SW27,
8,ASW0004dv8,200,1.0,9964,0.5,Phil,SW01,
12,ASW00024id,200,1.0,1774,0.5,jasonjason,SW45,
,ASW0008qsm,,,EYVRGDM2OE,,,SW29,
,ASW00021r0,,,EPEDEGOBNV,,,SW31,
8,ASW0006e0o,200,0.8,5075,0.2,c_cld,SW51,
,ASW00019rw,,,JN5VBMXBXA,,,----,
,ASW0002dx7,,,AH6642ORPC,,,SW20,
,ASW0008qsm,,,OTZBMJ5MB7,,,SW29,
8,ASW0004dv8,200,1.0,10004,0.5,ElisabethB,SW01,
8,ASW0007e08,200,1.0,7957,0.5,c_cld,SW07,
12,ASW0007e08,200,1.2,7959,0.5,c_cld,SW07,
12,ASW0007e08,200,1.2,7961,0.5,c_cld,SW07,
